contributor_username,contributor_commits
phadej,388.0
mike-burns,119.0
jwiegley,64.0
sajidanower23,17.0
scott-fleischman,13.0
sol,13.0
joeyh,13.0
robbiemcmichael,10.0
nataren,8.0
rob-b,7.0
toddmohney,7.0
mgiles,5.0
mxswd,5.0
paulrzcz,5.0
iphydf,5.0
dsmatter,4.0
domenkozar,4.0
matsubara0507,4.0
TomMD,4.0
adarqui,3.0
jamesdabbs,3.0
mwu,3.0
pharpend,3.0
pbogdan,3.0
y-taka-23,3.0
vlad-shatskyi,3.0
nakaji-dayo,3.0
alexfmpe,2.0
cpennington,2.0
charleso,2.0
Daniel-Diaz,2.0
deckool,2.0
erantapaa,2.0
mulby,2.0
GrayHatter,2.0
hdgarrood,2.0
dahlia,2.0
IvanMalison,2.0
tsani,2.0
psylinse,2.0
santolucito,2.0
snoyberg,2.0
nblumoe,2.0
relrod,2.0
cblp,2.0
mrb,2.0
pbrisbin,2.0
abhinav,1.0
axman6,1.0
ali-abrar,1.0
asr,1.0
artemohanjanyan,0.0
adomokos,1.0
brendanhay,1.0
bitemyapp,1.0
kfish,1.0
dlthomas,1.0
dmand,1.0
ethercrow,1.0
mightybyte,1.0
erikd,1.0
fernandocastor,1.0
NinjaTrappeur,1.0
hrushikesh,1.0
ian-ross,1.0
jhrcek,1.0
jsl,1.0
zudov,1.0
womfoo,1.0
mcmayer,1.0
marcosh,1.0
NicolasDP,1.0
nh2,1.0
palas,1.0
ppetr,1.0
rom1504,1.0
ruuda,1.0
ryantrinkle,1.0
schell,1.0
smurphy8,1.0
sid-kap,1.0
ttuegel,1.0
yunomu,1.0
seizans,1.0
vrom911,1.0
